name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Vishal Mega Mart,3.8,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 293 more",15 years old,10k-50k Employees (India)
Hindalco Industr...,4.3,(2.2k Reviews),Public,"Mumbai,Maharashtra + 71 more",65 years old,10k-50k Employees (India)
CMS IT Services,3.2,(2.2k Reviews),Private,"Bangalore,Karnataka + 131 more",9 years old,5k-10k Employees (India)
DCB Bank,3.9,(2.2k Reviews),Private,"Mumbai,Maharashtra + 274 more",93 years old,5k-10k Employees (India)
Glenmark Pharmac...,4.1,(2.2k Reviews),Public,"Mumbai,Maharashtra + 119 more",46 years old,501-1k Employees (India)
ABB Group,4.1,(2.2k Reviews),Public,Zurich + 88 more,35 years old,10k-50k Employees (India)
Ipca Laboratorie...,4.0,(2.2k Reviews),Public,"Mumbai,Maharashtra + 103 more",74 years old,10k-50k Employees (India)
Publicis Sapien...,3.6,(2.2k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
Honda Motorcycle...,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 185 more",24 years old,1k-5k Employees (India)
NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 21 more,10k-50k Employees (India),
DTDC Express,3.9,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 201 more",33 years old,1k-5k Employees (India)
Escorts Kubota L...,4.1,(2.1k Reviews),Public,"Faridabad,Haryana + 117 more",63 years old,10k-50k Employees (India)
MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 156 more",77 years old,10k-50k Employees (India)
Standard Charter...,4.0,(2.1k Reviews),Private,"London,England + 56 more",54 years old,5k-10k Employees (India)
Reliance Nippon ...,3.9,(2.1k Reviews),Private,"Mumbai,Maharashtra + 407 more",23 years old,10k-50k Employees (India)
Maersk,4.3,(2.1k Reviews),Private,Copenhagen + 25 more,119 years old,10k-50k Employees (India)
Persistent Syste...,4.0,(2.1k Reviews),Public,"Pune,Maharashtra + 16 more",33 years old,10k-50k Employees (India)
GATI-KWE,4.1,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 151 more",11 years old,1k-5k Employees (India)
Shoppers Stop,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 57 more",32 years old,5k-10k Employees (India)
Bank of America,4.4,(2.1k Reviews),Private,Charlotte + 23 more,25 years old,10k-50k Employees (India)
24/7 Customer,3.6,(2.1k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
Conduent,3.6,(2.1k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
Aarti Industries,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 36 more",48 years old,5k-10k Employees (India)
Tata AIA Life In...,4.1,(2.1k Reviews),Private,"Mumbai,Maharashtra + 250 more",22 years old,10k-50k Employees (India)
R1 RCM,3.9,(2.1k Reviews),Private,"Murray,Utah + 16 more",20 years old,5k-10k Employees (India)
Biocon,3.9,(2.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 56 more",45 years old,10k-50k Employees (India)
